"Calendar year","RoadUser_Group","Counterparty_Group","Sum(Hospitalisations)"
2021,"Car passenger","Non-collision / solo",941
2021,"Car passenger","Other / unspecified",73
2021,"Car passenger","Pedal cycle",1
2021,"Car passenger","Pedestrian / animal",35
2021,"Motorcyclist","Car / van",2317
2021,"Motorcyclist","Fixed object",920
2021,"Motorcyclist","Heavy transport / bus",66
2021,"Motorcyclist","Motorcycle",203
2021,"Motorcyclist","Non-collision / solo",3759
2021,"Motorcyclist","Other / unspecified",1395
2021,"Motorcyclist","Pedal cycle",13
2021,"Motorcyclist","Pedestrian / animal",210
2021,"Other","Car / van",345
2021,"Other","Fixed object",176
2021,"Other","Heavy transport / bus",117
2021,"Other","Motorcycle",1
2021,"Other","Non-collision / solo",502
2021,"Other","Other / unspecified",1149
2021,"Other","Pedestrian / animal",13
2021,"Pedal cyclist","Car / van",1575
2021,"Pedal cyclist","Fixed object",466
2021,"Pedal cyclist","Heavy transport / bus",49
2021,"Pedal cyclist","Motorcycle",17
2021,"Pedal cyclist","Non-collision / solo",3705
2021,"Pedal cyclist","Other / unspecified",1863
2021,"Pedal cyclist","Pedal cycle",390
2021,"Pedal cyclist","Pedestrian / animal",98
2021,"Pedestrian","Car / van",2063
2021,"Pedestrian","Heavy transport / bus",83
2021,"Pedestrian","Motorcycle",37
2021,"Pedestrian","Other / unspecified",82
2021,"Pedestrian","Pedal cycle",43
2021,"Pedestrian","Pedestrian / animal",26
